id,char,pinyins,script_type,hsk_level
1533,叼,diāo,neutral,7-9
1538,吁,xū|yū|yù,neutral,7-9
1540,吃,chī|qī,neutral,1
1541,各,gè|gě,neutral,3
1543,吆,yāo,neutral,
1545,合,hé|gě,neutral,2
1546,吉,jí,neutral,6
1547,吊,diào,neutral,6
1548,吋,cùn|dòu|yīng,neutral,
1549,同,tóng|tòng,neutral,1
1550,名,míng|mìng,neutral,1
1551,后,hòu,neutral,1
1553,吐,tǔ|tù,neutral,5
1554,向,xiàng,neutral,2
1556,吓,xià|hè|hà,neutral,5
1558,吕,lǚ,simplified,7-9
1559,吖,yā|ā,neutral,
1560,吗,ma|má|mǎ,simplified,1
1564,君,jūn,neutral,7-9
1566,吝,lìn,neutral,
1567,吞,tūn|tiān,neutral,6
1568,吟,yín|yǐn|jìn,neutral,
1569,吠,fèi,neutral,
1575,否,fǒu|pǐ,neutral,3
1576,吧,ba|bā|pā,neutral,1
1577,吨,dūn|tún|tǔn,simplified,5
1578,吩,fēn|pèn,neutral,7-9
1580,含,hán|hàn,neutral,4
1581,听,tīng|yǐn|yí,neutral,1
1582,吭,kēng|háng|hàng,neutral,7-9
1583,吮,shǔn,neutral,
1584,启,qǐ,simplified,5
1586,吱,zhī|zī|qì,neutral,
1588,吳,wú|yú,traditional,
1589,吴,wú|tūn,neutral,7-9
1590,吵,chǎo|chāo|miǎo|chào,neutral,3
1593,吸,xī,neutral,4
1594,吹,chuī|chuì,neutral,2
1596,吻,wěn,neutral,7-9
1597,吼,hǒu,neutral,7-9
1598,吽,hōng|ōu|hǒu,neutral,
1599,吾,wú|yú|yá,neutral,
1601,呀,ya|yā|xiā,neutral,4
1604,呃,è|e|ài,neutral,
1607,呆,dāi|bǎo|ái,neutral,5
1609,呈,chéng|kuáng|chěng,neutral,7-9
1611,告,gào|jū|gù,neutral,1
1615,呎,chǐ|yīng,neutral,
1617,呐,nà|nè|na|nuò|ne,simplified,7-9
1619,呒,wǔ|ḿ,simplified,
1622,呕,ǒu|ōu|òu,simplified,7-9
1625,员,yuán|yùn|yún,simplified,3
1628,呛,qiāng|qiàng,simplified,7-9
1635,呢,ne|ní|nǐ|nī,neutral,1
1639,呦,yōu,neutral,
1641,周,zhōu,neutral,2
1650,呱,gū|guā|guǎ,neutral,
1652,味,wèi|mèi,neutral,2
1654,呵,hē|hā|ā|a|kē|huō|á|ǎ|à,neutral,7-9
1660,呻,shēn,neutral,
1661,呼,hū|xiāo|xū|hè|xià,neutral,4
1662,命,mìng,neutral,3
1665,咀,jǔ|zuǐ,neutral,
1667,咂,zā,neutral,
1669,咄,duō,neutral,
1671,咆,páo,neutral,
1676,咋,zǎ|zé|zhā|zhà,neutral,
1677,和,hé|hè|hú|huó|huò|huo,neutral,1
1679,咎,jiù|gāo,neutral,
1681,咐,fù|fú,neutral,7-9
1683,咒,zhòu,neutral,
1685,咔,kā|kǎ|nòng,neutral,
1686,咕,gū|gu,neutral,
1687,咖,kā|gā|jiā,neutral,3
1688,咗,zuo,neutral,
1690,咙,lóng,simplified,7-9
1701,咤,zhà,neutral,
1703,咦,yí|xī,neutral,
1704,咧,liě|liē|liè|lié|lie,neutral,7-9
1705,咨,zī,neutral,6
1707,咪,mī|mǐ|miē|mǎi,neutral,
1709,咬,yǎo|jiāo|yāo|jiǎo,neutral,5
1710,咭,jī|xī|qià,neutral,
1712,咯,gē|kǎ|lo|luò|kā,neutral,
1714,咱,zán|zá|zǎ|zan,neutral,2
1716,咳,ké|hāi|hái|gāi,neutral,5
1721,咸,xián|jiǎn|jiān,neutral,4
1726,咽,yàn|yān|yè|yuān,neutral,7-9
1729,哀,āi,neutral,7-9
1730,品,pǐn,neutral,3
1733,哄,hǒng|hōng|hòng,neutral,7-9
1735,哆,duō|chǐ|zhà|chì|duò|diě,neutral,7-9
1736,哇,wa|wā|guī|huá|wá,neutral,6
1737,哈,hā|hǎ|hà|hē|hé|tà|shà,neutral,3
1738,哉,zāi,neutral,
1742,响,xiǎng,neutral,2
1743,哎,āi,neutral,7-9
1744,哏,gén|hěn|ǹ,neutral,
1746,哑,yǎ|yā,simplified,7-9
1747,哒,dá|dā,simplified,
1749,哔,bì,simplified,
1752,哗,huā|huá,simplified,7-9
1758,哝,nóng,simplified,
1760,哟,yō|yo,simplified,
1762,員,yuán|yún|yùn,traditional,
1766,哥,gē,neutral,1
1767,哦,ó|é|ò,neutral,7-9
1769,哨,shào|sāo|xiāo|xiào|sào,neutral,7-9
1770,哩,lī|li|lì|lǐ|mái|yīng,neutral,
1771,哪,nǎ|na|né|nuó|nǎi|nà|niè|něi,neutral,1
1774,哭,kū,neutral,2
1775,哮,xiāo|xiào|xuē,neutral,
1779,哲,zhé,neutral,6
1787,哺,bǔ|bū|fǔ,neutral,7-9
1789,哼,hēng|hng,neutral,7-9
1797,唄,bei|bài,traditional,
1800,唇,chún|zhēn|zhèn,neutral,7-9
1802,唉,āi|ài|ǎi,neutral,7-9
1809,唐,táng,neutral,7-9
1810,唑,zuò|shì,neutral,
1813,唔,wú|wù|ńg|ḿ|ń,neutral,
1825,唠,láo|lào,simplified,7-9
1829,唤,huàn,simplified,7-9
1832,唧,jī|jié,neutral,
1837,唬,hǔ|xiāo|guó|xià|háo,neutral,7-9
1839,售,shòu|shú,neutral,4
1840,唯,wéi|wěi,neutral,5
1842,唱,chàng,neutral,1
1846,唵,ǎn|ng|n,neutral,
1848,唷,yō|yù,neutral,
1849,唸,niàn|diàn,neutral,
1855,唾,tuò,neutral,7-9
1858,啁,zhāo|zhōu|dāo|tiáo|diào,neutral,
1860,啃,kěn,neutral,7-9
